,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
164,2022-04-29,26100,26200,25450,26100,350095,105630,1042214145000,1.0746663137630932,0.9992510907749003,105630,11835,15.56,2.26,1716,1.87,500
165,2022-04-29,6710,6760,6650,6740,73740,082640,1030549237800,1.0947256382342638,0.993363573831478,082640,19530,3.8,0.34,1768,9.24,620
166,2022-04-29,2670,2690,2650,2675,563922,005880,1004250000000,2.157239630912628,1.0028878144614395,005880,4140,3.06,0.66,891,0.0,0
167,2022-04-29,14500,14600,14350,14550,61978,000240,1000267353960,0.9674135746531948,0.9947116780038731,000240,39349,6.92,0.37,2094,4.14,600
168,2022-04-29,85300,88400,84400,86000,289333,192820,998921194600,0.762543340942665,0.9920067614052054,192820,49474,12.26,1.72,6944,0.65,550
169,2022-04-29,17500,17800,17400,17650,25146,003540,988609950000,0.791170938328385,1.0059690730115698,003540,39313,1.86,0.44,9323,8.09,1400
170,2022-04-29,20750,21000,20650,20750,50321,023590,984822243150,1.0586836917830793,1.0,023590,45679,2.37,0.45,8693,2.91,600
171,2022-04-29,183500,185500,183500,185000,2323,017390,938540624000,0.3803275823563448,1.0141337204188714,017390,266539,86.49,0.69,2139,0.95,1750
172,2022-04-29,32300,32300,31800,32000,98267,103140,937113400500,1.1585903266323985,0.9966870504101643,103140,60099,3.74,0.54,8686,3.08,1000
173,2022-04-29,50500,51200,50000,50200,31192,034120,909548583000,1.365843027538904,1.0116194403019225,034120,37150,6.56,1.36,7693,1.98,1000
174,2022-04-29,53200,57100,52100,56100,1399258,005070,868224000000,1.2453952764877934,1.0472854131361418,005070,6831,90.4,7.99,604,0.0,0
175,2022-04-29,25250,25550,25050,25400,132660,001680,864468223750,0.8816524660469605,1.0011200708704362,001680,34063,6.3,0.74,4001,3.17,800
176,2022-04-29,23300,26200,22000,24650,28041489,016380,862325341250,1.625902426517828,0.9877417128465672,016380,11498,12.37,2.05,1908,0.42,100
177,2022-04-29,97600,99200,97600,99000,21730,185750,835406046000,1.392540271013571,1.0012115120357323,185750,48073,27.09,2.04,3614,1.02,1000
178,2022-04-29,21900,22250,21850,22150,40936,005250,830710400000,1.5261214074540639,0.9935794538278612,005250,22586,18.04,0.98,1222,1.81,400
179,2022-04-29,14850,14900,14650,14800,61741,001800,820655028200,0.9286147562920445,0.986621407719923,001800,34867,10.32,0.42,1429,4.41,650
180,2022-04-29,11350,11500,11300,11450,132657,005690,808993110960,-0.2570993794951678,1.0162415686643915,005690,1090,72.64,10.6,159,0.0,0
181,2022-04-29,1800,1885,1790,1810,34157983,001440,780675484170,1.7283968099114642,1.001675761636701,001440,439,56.67,4.26,33,0.0,0
182,2022-04-29,111500,114000,109500,113000,22141,004690,776610810000,0.585600905384702,1.0010663802562023,004690,392735,6.5,0.29,17385,2.65,3000
183,2022-04-29,16450,16750,16400,16500,350571,032350,766668210000,1.6838042325578766,1.0148042283394512,032350,811,0.0,20.1,0,0.0,0
184,2022-04-29,94500,94700,92200,93600,2705,016590,763751481600,0.932050714630209,1.0202265568062128,016590,139181,6.36,0.67,14644,1.34,1250
185,2022-04-29,44050,44900,44050,44700,77907,097520,751050650400,0.921033755496377,1.0184027094297985,097520,16767,19.43,2.58,2229,1.15,500
186,2022-04-29,29450,29750,28000,28050,2370135,002240,740495374500,0.906986781401963,0.9990859808619492,002240,66447,5.04,0.43,5645,1.05,300
187,2022-04-29,51300,51400,50700,51400,24652,009450,740097312000,1.0942642692953257,1.0057907681920368,009450,31164,8.88,1.68,5898,0.86,450
188,2022-04-29,27750,28150,27500,27600,277649,079160,731761182975,1.5183010796368634,0.9829278822414538,079160,5520,0.0,4.97,0,0.0,0
189,2022-04-29,69900,70400,67600,70000,22065,025540,729050000000,1.3687290834702597,0.9997401655168306,025540,81648,11.33,0.85,6100,1.01,700
190,2022-04-29,6400,6560,6370,6450,872884,037560,724800000000,1.3757449890527076,0.9936897278259389,037560,8424,18.42,0.76,348,1.72,110
191,2022-04-29,85900,86900,85600,86900,5063,000070,723776082000,1.1924375364660766,0.9937614696789191,000070,226314,2.81,0.38,30711,3.48,3000
192,2022-04-29,2315,2460,2290,2410,9326168,002900,714555742080,1.6382728982944028,1.0077225751788208,002900,1714,12.97,1.48,195,0.79,20
193,2022-04-29,4810,4845,4790,4810,599399,003530,713366270000,1.8249160018662893,1.0105669369610717,003530,8572,7.22,0.56,659,4.2,200
194,2022-04-29,6900,6920,6760,6870,108991,002350,706849203060,1.1084045499712885,0.988622297649268,002350,15543,153.56,0.44,45,1.52,105
195,2022-04-29,22450,22650,22400,22550,18894,008730,704839503300,0.9866657676623904,1.0088383467402033,008730,13954,66.28,1.62,341,2.21,500
196,2022-04-29,4020,4020,3975,3980,37281,085620,704524432220,0.7145757621227387,0.9943543723277627,085620,14579,6.57,0.27,604,2.52,100
