,52주베타,거래소코드
474,1.94,1340
475,2.66,2410
476,1.51,890
477,1.84,3000
478,0.30,1270
479,2.91,26940
480,1.68,11390
481,0.72,5030
482,4.12,30790
483,1.89,8040
484,1.58,7160
485,1.62,14710
486,3.02,1470
487,0.94,6400
488,1.92,6660
489,0.92,28260
490,0.83,207940
491,1.12,32830
492,0.87,18260
493,1.60,28050
494,0.91,9150
495,0.87,5930
496,1.75,1360
497,1.27,10140
498,1.01,16360
499,0.36,29780
500,0.96,810
501,1.55,6110
502,1.09,3230
503,0.68,2170
504,0.48,2810
505,1.22,5680
506,1.42,3720
507,1.12,4380
508,1.36,520
509,0.89,9770
510,0.67,5500
511,1.31,10960
512,0.54,4450
513,1.60,9470
514,2.00,11230
515,0.83,1820
516,1.22,390
517,1.35,41650
518,0.41,75180
519,1.26,7540
520,1.23,248170
521,0.32,17390
522,1.34,4410
523,0.99,7610
524,1.90,14910
525,1.28,3080
526,1.48,4980
527,1.14,180
528,0.13,2420
529,1.14,4360
530,1.34,4490
531,1.50,91090
532,1.95,33530
533,1.22,27970
534,0.96,336370
535,1.30,4430
536,1.48,26890
537,0.27,16590
538,1.04,4970
539,2.16,5390
540,1.69,34300
541,0.61,6880
542,0.32,1720
543,1.17,2700
544,0.98,19170
545,1.65,2870
546,1.14,1770
547,0.75,3410
548,0,3620
549,1.39,4770
550,1.80,112610
551,1.01,1040
552,0.91,120
553,1.80,79160
554,1.46,11150
555,1.27,97950
556,2.21,8700
557,1.18,2030
558,0.85,183190
559,0.71,2310
560,1.72,267850
561,1.97,20560
562,0.48,10780
563,0.78,139990
564,1.30,18250
565,1.13,161000
566,0.53,137310
567,1.26,5850
568,0.81,5090
569,0.92,34730
570,0.39,18670
571,0.93,1740
572,0.96,6120
573,1.20,210980
574,1.41,68400
575,1.23,302440
576,1.64,326030
577,0.51,402340
578,0.27,11790
579,1.20,361610
580,1.32,1510
581,0.93,285130
582,0.24,17670
583,1.18,660
584,0.65,10950
585,1.25,23960
586,0.65,298690
587,0.98,12630
588,1.11,39570
589,1.32,294870
590,1.74,89470
591,0.77,82740
592,1.60,11200
593,1.66,6840
594,1.61,3060
595,0.21,380440
596,1.70,181710
597,0.81,5940
598,1.66,4250
599,1.16,900140
600,1.17,79550
601,0.97,229640
602,1.33,34220
603,1.12,66570
604,1.70,14440
605,1.53,3520
606,0.42,6740
607,2.10,12280
608,1.20,10050
609,1.50,10600
610,1.29,47400
611,1.43,77500
612,1.07,2920
613,1.57,3470
614,1.49,72130
615,1.22,1200
616,0.89,3460
617,1.50,8730
618,1.51,8250
619,2.27,25820
620,1.60,102460
621,1.34,760
622,1.12,23800
623,0.31,34590
624,1.16,129260
625,0.20,249420
626,1.30,230
627,1.20,13360
628,0.58,3120
629,0.53,3200
630,1.73,7570
631,0.63,8500
632,1.31,81000
633,1.20,20760
634,0.82,20150
635,2.62,103590
636,2.14,271940
637,1.61,15860
638,0.83,317400
639,1.86,33240
640,1.01,950
641,0.92,234080
642,1.14,1060
643,0.86,96760
644,2.38,25620
645,1.61,271980
646,0.76,1560
647,1.71,2620
648,1.70,4910
649,0.51,4700
650,0.33,480
651,1.13,120030
652,3.17,18470
653,0.69,24110
654,1.13,6360
655,1.71,13870
656,1.05,3780
657,1.46,10640
658,1.10,51630
659,2.47,11000
660,1.80,2780
661,0.99,9310
662,0,109070
663,1.62,1620
664,1.09,9440
665,1.52,119650
666,1.43,40
667,1.63,1390
668,1.71,381970
669,0.69,25000
670,0.59,92230
671,0.45,3690
672,1.36,192820
673,1.15,44820
674,0.62,5070
675,0.47,5420
676,1.16,3070
677,1.40,120110
678,1.51,138490
679,1.10,21240
680,0.46,192400
681,0.68,284740
682,1.39,39490
683,0.65,15890
684,1.31,6890
685,0.88,3240
686,1.02,11280
687,1.37,4100
688,1.34,1420
689,0.89,7980
690,0.84,78000
691,1.62,2900
692,1.08,69260
693,1.33,5690
694,1.14,4720
695,0.60,28670
696,1.17,10820
697,1.45,1020
698,2.98,90080
699,1.95,10770
700,1.33,58430
701,0.98,5490
702,2.21,950210
703,1.55,178920
704,0.74,293480
705,1.20,80
706,1.32,140
707,0.51,36460
708,0.83,5430
709,1.24,10040
710,1.88,25540
711,-0.01,4090
712,1.27,2200
713,0.33,2960
714,1.15,240
715,0.95,33270
716,0.75,123890
717,0.69,15760
718,1.38,52690
719,1.18,9540
720,1.35,25890
721,0.80,970
722,0.44,71320
723,0.91,104700
724,1.13,161890
725,1.26,24720
726,1.18,161390
727,1.30,71050
728,1.62,10100
729,0.84,47810
730,1.47,123690
731,0.95,42700
732,1.63,8930
733,1.20,128940
734,2.46,3680
735,0.82,105630
736,3.10,69640
737,1.63,16450
738,1.17,9180
739,0.85,213500
740,1.70,4710
741,2.28,10420
742,1.16,4150
743,1.40,4960
744,3.31,11700
745,1.02,1750
