,Unnamed: 0,Date,대형주CAPM,성장주CAPM,중소형주CAPM,가치주CAPM,대형주포트폴리오분산,성장주포트폴리오분산,중소형주포트폴리오분산,가치주포트폴리오분산,대형주샤프지수,성장주샤프지수,중소형주샤프지수,가치주샤프지수,코스피200수익률,최대수익률,최소분산,샤프모델최대,대형주안정,성장주안정,중소형주안정,가치주안정,대형주,성장주,중소형주,가치주,대형주최소분산,성장주최소분산,중소형주최소분산,가치주최소분산,월,년,동행지수증가,선행지수증가,동행지수,선행지수,샤프수익률 라벨링,코스피
80,80,2017-01-01,2.3841038870593096,2.9652380272208774,2.543570199402468,1.7330876599569829,0.0004375447603212,0.0005303103806919,0.000314669542746,0.0001244231743278,1.1064248293636003,1.2573593581307394,1.3945816543199958,1.4911952036413485,3.1075727856620943,2.9652380272208774,1.7330876599569829,1.7330876599569829,0,0,0,1,0,1,0,0,0,0,0,1,1,2017,1.0049455984174085,1.001998001998002,1.5999999999999943,0.29999999999999716,3,1.9818713932398868
81,81,2017-02-01,0.5851840994939841,0.6999278310835854,0.5920565937515246,0.4017552348911239,0.0004096969149045,0.0005033501492996,0.0002979099013667,0.0001151567199596,0.2530238725608364,0.2794185839805996,0.3007041605709005,0.3063206226355464,0.7348278563169108,0.6999278310835854,0.4017552348911239,0.4017552348911239,0,0,0,1,0,1,0,0,0,0,0,1,2,2017,1.0,1.0019940179461615,1.5999999999999943,0.5,3,1.0215432789931533
82,82,2017-03-01,3.080805581015156,3.678713830506564,3.0343288525677306,1.875217854824501,0.0004008618569793,0.0004937476866881,0.0002916714342206,0.0001120795269015,1.4960765152400146,1.6171075043367649,1.7266837973211564,1.6905897210569425,3.917647930089596,3.678713830506564,1.875217854824501,3.0343288525677306,0,0,1,0,0,1,0,0,0,0,0,1,3,2017,1.002952755905512,1.000995024875622,1.9000000000000057,0.5999999999999943,1,2.562880430121317
83,83,2017-04-01,1.8052903797178323,2.098622363663804,1.7181709666035438,1.1417453998675775,0.0004236315062085,0.000525874807295,0.0003129457285982,0.0001194850942905,0.8339967632040273,0.8764580022171209,0.9210930213313836,0.963334003696208,2.341077537058145,2.098622363663804,1.1417453998675775,1.1417453998675775,0,0,0,1,0,1,0,0,0,0,0,1,4,2017,1.0,1.0009940357852884,1.9000000000000057,0.7000000000000028,3,1.1238760707330764
84,84,2017-05-01,4.634290375264264,5.451556665464341,4.532028500772247,3.100981253774408,0.0004257616592057,0.0005290961595423,0.0003148578796196,0.0001197123621358,2.1989487861072123,2.327864797161179,2.4994300638754363,2.7455569739798644,6.079175516172852,5.451556665464341,3.100981253774408,3.100981253774408,0,0,0,1,0,1,0,0,0,0,0,1,5,2017,1.001962708537782,1.0,2.0999999999999943,0.7000000000000028,3,6.559978149994294
85,85,2017-06-01,1.9139618868456303,2.032952995287807,1.6647480632838618,1.2467959620337816,0.0004705216524974,0.0005929615515442,0.0003587736140579,0.0001392064199241,0.8349861909422452,0.7926647916676954,0.8246507495355344,0.9696468419219813,2.3271080185118143,2.032952995287807,1.2467959620337816,1.2467959620337816,0,0,0,1,0,1,0,0,0,0,0,1,6,2017,1.0,1.0019860973187686,2.0999999999999943,0.9000000000000057,3,3.054632745886443
86,86,2017-07-01,0.7627144321207993,0.794609644968542,0.6690337746113201,0.5374881091935909,0.0004764653435852,0.0005989909630702,0.0003625034604858,0.0001411887743559,0.3027236431724915,0.2830247312318146,0.297857829059028,0.3665636136456523,0.9109571465229838,0.794609644968542,0.5374881091935909,0.5374881091935909,0,0,0,1,0,1,0,0,0,0,0,1,7,2017,1.0,1.0,2.0999999999999943,0.9000000000000057,3,1.7154830277405164
87,87,2017-08-01,-1.654573646380873,-1.6965074299605496,-1.3221553026268675,-0.9516540201771638,0.0004540916759291,0.0005756117503385,0.0003482533283813,0.0001335872605514,-0.8242832194659433,-0.749600210705133,-0.7631103551549171,-0.9115600319423228,-2.008900190718388,-0.9516540201771638,-0.9516540201771638,-1.6965074299605496,0,1,0,0,0,0,0,1,0,0,0,1,8,2017,1.0,1.0019821605550048,2.0999999999999943,1.0999999999999943,2,-1.6873686532669963
88,88,2017-09-01,2.230291202715488,2.2645775550142155,1.789248103912387,1.403732811682586,0.0004575251914562,0.0005790010429839,0.0003503264648698,0.0001347342798726,0.9919544535400522,0.8960275284510931,0.8979700574573961,1.115843283305841,2.591799662644356,2.2645775550142155,1.403732811682586,1.403732811682586,0,0,0,1,0,1,0,0,0,0,0,1,9,2017,1.0019588638589618,0.9990108803165184,2.299999999999997,1.0,3,-0.0143638036673166
89,89,2017-10-01,4.510042190233088,4.711745530970271,3.7085772296053854,2.874652861845133,0.0004419894670956,0.0005576176628844,0.0003337032982976,0.0001245975425748,2.088919536059364,1.945187841368737,1.9653347026366657,2.4692523231688703,5.470009801751675,4.711745530970271,2.874652861845133,2.874652861845133,0,0,0,1,0,1,0,0,0,0,0,1,10,2017,0.9980449657869012,1.0,2.0999999999999943,1.0,3,4.681060364530509
